ID,ZIP Code,Mortgage,Personal Loan,CD Account,CreditCard
1,91107,0,0,0,0
2,90089,0,0,0,0
3,94720,0,0,0,0
4,94112,0,0,0,0
5,91330,0,0,0,1
6,?,155,0,0,0
7,91711,0,0,0,0
8,93943,0,0,0,1
9,90089,104,0,0,0
10,93023,0,1,0,0
11,94710,0,0,0,0
12,90277,0,0,0,0
13,93106,0,0,0,0
14,94920,0,0,0,0
15,91741,0,0,0,0
16,?,0,0,0,1
17,95010,134,1,0,0
18,94305,0,0,0,0
19,91604,0,1,0,0
20,94720,0,0,0,1
21,94015,111,0,0,0
22,90095,0,0,0,0
23,90277,260,0,0,0
24,91320,163,0,0,0
25,95521,159,0,0,1
26,94305,97,0,0,0
27,95064,0,0,0,0
28,90064,0,0,0,1
29,94539,0,0,0,1
30,94104,0,1,1,1
31,?,122,0,0,0
32,94117,0,0,0,0
33,94801,193,0,0,0
34,91330,0,0,0,0
35,94035,0,0,0,0
36,92647,0,0,0,0
37,94720,0,0,0,1
38,95814,198,0,0,0
39,94114,0,1,1,0
40,94115,285,0,0,0
41,92672,0,0,0,0
42,94122,0,0,0,0
43,90019,412,1,0,0
44,95616,0,0,0,0
45,94065,0,0,0,1
46,?,0,0,0,1
47,95014,153,0,0,0
48,91380,211,1,1,1
49,95747,0,0,0,1
50,92373,0,0,0,1
51,92093,0,0,0,0
52,94720,0,0,0,0
53,94005,207,0,0,0
54,90245,240,1,0,0
55,95819,0,0,0,0
56,94022,0,0,0,0
57,94005,0,0,1,0
58,95616,0,1,0,0
59,94065,0,0,0,0
60,91320,455,0,0,0
61,90404,0,0,0,0
62,93407,112,0,0,0
63,?,0,0,0,0
64,94523,0,0,0,0
65,90024,0,0,0,0
66,91360,0,0,0,1
67,95670,336,0,0,0
68,95123,132,0,0,0
69,93407,0,0,0,1
70,90045,0,0,0,0
71,91335,0,0,0,1
72,93907,0,0,0,0
73,92007,0,0,0,1
74,94606,0,0,0,1
75,94611,0,0,0,1
76,94901,0,1,1,1
77,91320,0,0,0,0
78,92220,0,0,0,0
79,93305,0,1,0,0
80,94720,118,0,0,0
81,95134,174,0,0,1
82,?,0,0,0,0
83,92507,0,0,0,0
84,94305,0,0,0,0
85,91730,0,0,0,0
86,94005,0,0,0,0
87,94501,126,0,0,0
88,94305,0,0,0,0
89,94117,0,0,0,0
90,94303,0,0,0,1
91,90277,0,1,0,0
92,94105,0,0,0,0
93,94305,0,0,0,0
94,94550,236,0,0,0
95,92612,0,0,0,0
96,95617,0,0,0,0
97,95014,0,0,0,0
98,92121,0,0,0,0
99,92374,0,0,0,0
100,91711,0,0,0,0
101,94080,0,0,0,0
102,94608,0,0,0,0
103,93555,198,0,0,1
104,95670,0,0,0,0
105,93311,166,0,0,1
106,94704,0,0,0,0
107,92717,0,0,0,1
108,92037,136,0,0,0
109,95136,166,0,0,0
110,94542,0,0,0,0
111,91330,0,0,0,0
112,94143,0,0,0,0
113,91775,309,0,0,0
114,92703,103,0,0,0
115,92354,0,0,0,0
116,92024,0,0,0,0
117,92831,0,0,0,0
118,92833,193,0,0,0
119,92647,0,0,0,0
120,94304,366,0,0,0
121,90057,0,0,0,0
122,91711,0,0,0,0
123,94523,0,0,0,1
