ACTIVITY,TIME,SL
3,4722.92,4019.64
2,4059.12,2191.03
2,4773.56,2787.99
4,8271.27,9545.98
4,7102.16,14148.8
5,7015.24,7336.79
3,8620.28,24949.9
3,9238.73,39245.5
0,12276.4,59742.0
4,14165.5,140950.0
0,7069.95,15336.6
5,10768.8,28521.0
0,10255.7,66668.0
0,6411.13,9698.0
4,8766.37,11524.1
3,9764.47,51960.7
3,15208.6,90305.4
0,6628.08,6490.83
0,7836.78,5545.0
0,10787.8,103850.0
0,7347.39,13978.0
3,15563.6,110121.0
2,5091.81,4269.08
3,3840.0,1433.37
4,15435.0,144972.0
2,13353.1,40216.5
0,18609.3,300553.0
3,12024.8,115245.0
0,23099.1,280276.0
2,8334.2,9499.81
4,11983.7,46065.4
4,18072.9,161030.0
0,13071.6,151812.0
3,19248.1,162489.0
0,19217.4,205811.0
2,9714.1,33873.2
4,4911.72,2837.21
3,12894.8,60525.0
3,10721.5,38062.2
4,10991.8,86042.1
4,3736.8,1436.3
0,5993.3,4806.0
0,20309.9,291719.0
0,12888.4,171016.0
3,7478.85,14147.7
0,17083.7,94618.0
5,9883.77,40847.4
3,5382.92,4179.02
4,9454.53,27663.8
2,7325.19,9277.63
5,23999.8,456954.0
5,10673.0,26600.5
1,11059.1,68879.1
2,16312.6,115767.0
3,9434.08,38959.0
4,9666.72,33029.0
5,12626.8,72561.2
3,20368.8,193489.0
2,17021.5,164814.0
0,12773.0,70843.0
0,5205.31,4188.0
3,13768.3,50902.1
0,20676.4,244148.0
2,23848.5,469672.0
3,9564.01,12121.7
2,20911.5,163006.0
0,6766.37,7326.0
0,8754.11,27397.0
4,10106.7,27928.0
3,17682.4,174076.0
5,13123.6,78485.7
4,6910.78,4085.64
0,10201.5,43306.0
3,14025.1,92585.3
5,7976.18,7585.75
4,11176.0,18259.1
0,8368.98,26567.0
4,9784.19,36750.7
0,14703.1,93227.0
3,10996.9,87333.1
4,5757.49,11120.1
3,7511.6,14204.6
0,11172.1,48737.0
0,8253.66,22740.0
4,6796.84,14057.7
5,13128.5,59784.8
3,10445.5,84668.3
3,24511.0,474472.0
5,9297.16,30430.0
5,13011.9,70519.9
2,6726.28,12062.3
4,2726.91,52.5799
4,13432.5,60792.1
0,9756.25,38530.0
0,15547.5,67787.0
4,13392.7,79963.8
5,9282.91,29260.1
0,19176.5,299930.0
0,6363.31,9414.0
2,5398.82,4276.59
5,12639.7,70542.2
0,8825.51,35892.0
5,11741.0,52851.3
3,8936.12,28128.2
4,5055.64,2870.85
1,9020.21,17476.2
0,8648.61,15678.0
5,6779.08,12811.6
3,24235.6,275831.0
4,14257.0,79237.5
4,8067.24,9426.1
0,5799.93,6030.0
0,8087.84,23021.0
4,9910.0,35151.4
2,4208.38,2173.98
0,7383.83,12007.0
4,9976.33,36430.0
2,4209.06,2179.4
5,4513.02,4068.02
5,23288.5,279622.0
3,9464.38,10028.9
0,5849.32,4670.0
5,7368.76,9526.94
2,3867.66,2203.3
4,9262.44,28718.5
2,14189.6,59502.1
4,12269.5,57637.3
3,8513.96,26319.7
3,9332.9,26774.0
0,14511.3,170352.0
2,6819.83,5250.37
3,8802.65,27497.3
0,8626.26,21900.0
3,13262.2,46178.0
3,12625.4,79552.2
3,11889.8,114530.0
3,8071.87,14318.6
0,18327.5,175790.0
